name,Source/Author,Last Update,Avg Strike,Avg Dip,Area [km^2],Exposure,Slip Sense,ID Comments,USGS ID,Fault Strand/Model Description,References
CRFA-SCMZ-SCYM-South_Cuyama_fault-CFM3,HRVD,CFM3,117,36,471.2,surface,orlr,,252,,"Davis et al., 1988 (SEPM)"
CRFA-SJMZ-CHMN-Big_Spring_fault-CFM5,CMDT,CFM5,302,34,516.08,surface,orlr,,77,35 degree dip; Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Nicholson et al., 2017"
CRFA-SJMZ-MRLS-Morales_fault-CFM3,HRVD,CFM3,305,23,743.31,surface,orlr,,491,,"Davis et al., 1988 (SEPM)"
CRFA-SJMZ-MULT-San_Juan_fault-CFM5,CMDT,CFM5,334,67,705.51,surface,orlr,,77,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Nicholson et al., 2017"
CRFA-SLRS-LPNS-Little_Pine_fault-CFM5,CMDT,CFM5,316,45,374.99,surface,orlr,,255,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Nicholson et al., 2017"
CRFA-SLRS-MULT-San_Luis_Range_fault_system-CFM4,HRVD,CFM4,131,53,907.68,surface,orlr,,82,,"Plesch et al., 2014"
CRFA-SLRS-SHRL-Shoreline_fault-CFM4,HRVD,CFM4,314,90,302.15,surface,orlr,,missing,,"Plesch et al., 2014"
CRFA-SLRS-SLBS-San_Luis_Bay_fault-CFM4,HRVD,CFM4,101,89,163.1,surface,orlr,,82,,"Plesch et al., 2014"
CRFA-SLRS-SYNV-Santa_Ynez_Valley_blind_fault-CFM5,CMDT,CFM5,304,75,480.01,blind,orlr,,missing,relocated seismicity,"Plesch et al., 2014"
ETRA-BBFS-1992-Big_Bear_rupture-CFM6,HRVD,CFM6,71,90,714.11,blind,llss,,missing,relocated seismicity,"Hauksson & Shearer 2005 (BSSA), Plesch et al. (2007)"
ETRA-BCFZ-MULT-Blue_Cut_fault-CFM5,UCSB,CFM5,87,89,984.45,surface,llss,,290,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Nicholson et al., 2014; Plesch et al., 2014"
ETRA-CHRC-STWS-Smoketree_Wash_fault-CFM5,CMDT,CFM5,262,90,331.45,surface,ollr,,395,Vertical dip; historal precedent is Chiriaco fault,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Plesch et al., 2015; Nicholson, 2016"
